epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4495,0.73014,3.44713,1.28756,0.31272,0.46102,0.33724,0.26655,0.69246,2.11825,1.30843,9.75625e-05,9.75625e-05,9.75625e-05
2,111.712,0.75404,2.14051,1.28701,0.44758,0.47226,0.45001,0.34994,0.69721,1.97347,1.29971,0.00019169,0.00019169,0.00019169
3,139.54,0.78897,1.87047,1.30322,0.55416,0.46798,0.49553,0.36477,0.81269,1.97685,1.40661,0.000281937,0.000281937,0.000281937
4,167.018,0.79506,1.7195,1.2991,0.53753,0.59077,0.60838,0.46568,0.75296,1.53275,1.36475,0.000276536,0.000276536,0.000276536
5,194.176,0.756,1.60056,1.27396,0.64661,0.57502,0.65706,0.50045,0.78475,1.42168,1.3938,0.000270715,0.000270715,0.000270715
6,221.215,0.75115,1.5235,1.26755,0.59699,0.67418,0.69754,0.54728,0.74077,1.25379,1.34844,0.000264894,0.000264894,0.000264894
7,248.546,0.74337,1.41537,1.26324,0.69033,0.65486,0.73688,0.58147,0.73191,1.12634,1.31486,0.000259073,0.000259073,0.000259073
8,275.748,0.72952,1.34819,1.25359,0.66636,0.68242,0.73301,0.5872,0.73157,1.17313,1.3364,0.000253252,0.000253252,0.000253252
9,303.068,0.70963,1.29937,1.23317,0.71761,0.73174,0.7911,0.64045,0.68648,0.98389,1.2775,0.00024743,0.00024743,0.00024743
10,330.428,0.68935,1.24297,1.21932,0.73313,0.71554,0.794,0.63573,0.69618,0.96411,1.2881,0.000241609,0.000241609,0.000241609
11,357.911,0.70212,1.20726,1.2243,0.80726,0.69892,0.81151,0.64766,0.70305,0.97204,1.27702,0.000235788,0.000235788,0.000235788
12,385.467,0.66714,1.14273,1.20137,0.77069,0.69763,0.79252,0.63538,0.68231,0.99928,1.27492,0.000229967,0.000229967,0.000229967
13,412.884,0.66251,1.1013,1.19353,0.71966,0.71446,0.77422,0.62969,0.66369,0.99881,1.25167,0.000224146,0.000224146,0.000224146
14,439.942,0.64114,1.0591,1.18358,0.79003,0.74333,0.81806,0.67097,0.63938,0.88747,1.21316,0.000218324,0.000218324,0.000218324
15,467.361,0.64309,1.04831,1.18882,0.77981,0.75553,0.82968,0.67076,0.66256,0.90216,1.25488,0.000212503,0.000212503,0.000212503
16,494.64,0.64658,1.03782,1.18382,0.78366,0.73829,0.8205,0.66526,0.64452,0.90426,1.24095,0.000206682,0.000206682,0.000206682
17,521.839,0.61806,0.98482,1.16872,0.79926,0.75931,0.84508,0.70502,0.60781,0.78535,1.19639,0.000200861,0.000200861,0.000200861
18,549.224,0.62277,0.94887,1.17235,0.82392,0.74213,0.84046,0.69776,0.5978,0.82638,1.17563,0.00019504,0.00019504,0.00019504
19,576.394,0.61843,0.94326,1.16564,0.77883,0.78978,0.8416,0.70665,0.58034,0.82213,1.16565,0.000189218,0.000189218,0.000189218
20,603.795,0.6161,0.92761,1.16322,0.7899,0.7653,0.84081,0.6857,0.61924,0.836,1.21105,0.000183397,0.000183397,0.000183397
21,630.938,0.59945,0.88975,1.14976,0.82941,0.73277,0.83348,0.70033,0.57774,0.8629,1.16898,0.000177576,0.000177576,0.000177576
22,657.952,0.59654,0.86271,1.14646,0.81099,0.8188,0.8772,0.74677,0.54899,0.69579,1.13604,0.000171755,0.000171755,0.000171755
